10 WRITE diskbuffer 000003FF
1518 READ diskstatus 00000001
1523 READ diskstatus 00000001
1528 READ diskstatus 00000001
1533 READ diskstatus 00000001
1538 READ diskstatus 00000001
1543 READ diskstatus 00000001
1548 READ diskstatus 00000001
1553 READ diskstatus 00000001
1558 READ diskstatus 00000001
1563 READ diskstatus 00000001
1568 READ diskstatus 00000001
1573 READ diskstatus 00000001
1578 READ diskstatus 00000001
1583 READ diskstatus 00000001
1588 READ diskstatus 00000001
1593 READ diskstatus 00000001
1598 READ diskstatus 00000001
1603 READ diskstatus 00000001
1608 READ diskstatus 00000001
1613 READ diskstatus 00000001
1618 READ diskstatus 00000001
1623 READ diskstatus 00000001
1628 READ diskstatus 00000001
1633 READ diskstatus 00000001
1638 READ diskstatus 00000001
1643 READ diskstatus 00000001
1648 READ diskstatus 00000001
1653 READ diskstatus 00000001
1658 READ diskstatus 00000001
1663 READ diskstatus 00000001
1668 READ diskstatus 00000001
1673 READ diskstatus 00000001
1678 READ diskstatus 00000001
1683 READ diskstatus 00000001
1688 READ diskstatus 00000001
1693 READ diskstatus 00000001
1698 READ diskstatus 00000001
1703 READ diskstatus 00000001
1708 READ diskstatus 00000001
1713 READ diskstatus 00000001
1718 READ diskstatus 00000001
1723 READ diskstatus 00000001
1728 READ diskstatus 00000001
1733 READ diskstatus 00000001
1738 READ diskstatus 00000000
1741 WRITE disksector 00000001
1743 WRITE diskcmd 00000001
